"","OPR_DT","OPR_HR","OPR_INTERVAL","NOMOGRAM_ID","CONSTRAINT_CAUSE","PRC","MARKET_RUN_ID"
"1","2024-05-02",10,1,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",76.33494,"RTPD"
"2","2024-05-02",11,1,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",86.13361,"RTPD"
"3","2024-05-02",12,1,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",89.93371,"RTPD"
"4","2024-05-02",13,1,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",94.84379,"RTPD"
"5","2024-05-02",15,1,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",88.62443,"RTPD"
"6","2024-05-02",16,1,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",82.70716,"RTPD"
"7","2024-05-02",17,1,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",67.29053,"RTPD"
"8","2024-05-02",10,2,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",78.53521,"RTPD"
"9","2024-05-02",11,2,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",83.40177,"RTPD"
"10","2024-05-02",12,2,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",93.40818,"RTPD"
"11","2024-05-02",13,2,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",92.18526,"RTPD"
"12","2024-05-02",14,2,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",97.49994,"RTPD"
"13","2024-05-02",15,2,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",86.39729,"RTPD"
"14","2024-05-02",16,2,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",82.40796,"RTPD"
"15","2024-05-02",17,2,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",72.47762,"RTPD"
"16","2024-05-02",9,3,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",88.4583,"RTPD"
"17","2024-05-02",10,3,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",80.8462,"RTPD"
"18","2024-05-02",11,3,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",83.0117,"RTPD"
"19","2024-05-02",12,3,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",90.31781,"RTPD"
"20","2024-05-02",13,3,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",91.03263,"RTPD"
"21","2024-05-02",14,3,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",89.90372,"RTPD"
"22","2024-05-02",15,3,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",84.06549,"RTPD"
"23","2024-05-02",16,3,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",82.40496,"RTPD"
"24","2024-05-02",17,3,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",84.10852,"RTPD"
"25","2024-05-02",9,4,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",87.9979,"RTPD"
"26","2024-05-02",10,4,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",81.0274,"RTPD"
"27","2024-05-02",11,4,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",83.29486,"RTPD"
"28","2024-05-02",12,4,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",91.73949,"RTPD"
"29","2024-05-02",13,4,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",89.18403,"RTPD"
"30","2024-05-02",14,4,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",91.17461,"RTPD"
"31","2024-05-02",15,4,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",699.99432,"RTPD"
"32","2024-05-02",16,4,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",81.61494,"RTPD"
"33","2024-05-02",17,4,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",89.17642,"RTPD"
"34","2024-05-02",14,1,"24701_KRAMER  _230_24601_VICTOR  _230_BR_1 _1","Base Case",26.16798,"RTPD"
"35","2024-05-02",14,2,"24701_KRAMER  _230_24601_VICTOR  _230_BR_1 _1","Base Case",27.0504,"RTPD"
"36","2024-05-02",9,4,"24701_KRAMER  _230_24601_VICTOR  _230_BR_1 _1","Base Case",48.15382,"RTPD"
