"","OPR_DT","OPR_HR","OPR_INTERVAL","NOMOGRAM_ID","CONSTRAINT_CAUSE","PRC","MARKET_RUN_ID"
"1","2024-04-30",18,0,"24084_LITEHIPE_230_24091_MESA CAL_230_BR_1 _1","Base Case",9.97583,"HASP"
"2","2024-04-30",10,0,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",68.25291,"HASP"
"3","2024-04-30",11,0,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",68.1224,"HASP"
"4","2024-04-30",12,0,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",79.32199,"HASP"
"5","2024-04-30",13,0,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",79.58672,"HASP"
"6","2024-04-30",14,0,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",68.1956,"HASP"
"7","2024-04-30",15,0,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",64.29816,"HASP"
"8","2024-04-30",16,0,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",80.23282,"HASP"
"9","2024-04-30",17,0,"24420_NEENACH _66.0_24452_TAP 85  _66.0_BR_1 _1","Base Case",84.66513,"HASP"
"10","2024-04-30",10,0,"24701_KRAMER  _230_24601_VICTOR  _230_BR_1 _1","Base Case",19.36216,"HASP"
"11","2024-04-30",11,0,"24701_KRAMER  _230_24601_VICTOR  _230_BR_1 _1","Base Case",39.93147,"HASP"
"12","2024-04-30",12,0,"24701_KRAMER  _230_24601_VICTOR  _230_BR_1 _1","Base Case",49.29406,"HASP"
"13","2024-04-30",13,0,"24701_KRAMER  _230_24601_VICTOR  _230_BR_1 _1","Base Case",1.15472,"HASP"
"14","2024-04-30",18,0,"24701_KRAMER  _230_24601_VICTOR  _230_BR_1 _1","Base Case",31.53266,"HASP"
